Urn	TextPassage	Abbreviation	Expansion
urn:cts:hclat:abbrOccurrences.1	urn:cts:hclat:inscriptions.doc1:1	D	
urn:cts:hclat:abbrOccurrences.2	urn:cts:hclat:inscriptions.doc1:1	O	
urn:cts:hclat:abbrOccurrences.3	urn:cts:hclat:inscriptions.doc1:1	M	
urn:cts:hclat:abbrOccurrences.4	urn:cts:hclat:inscriptions.doc10:1	MAX	MAXIMUS
urn:cts:hclat:abbrOccurrences.5	urn:cts:hclat:inscriptions.doc11:1	PONT	PONTIFEX
urn:cts:hclat:abbrOccurrences.6	urn:cts:hclat:inscriptions.doc11:1	MAX	MAXIMUS
urn:cts:hclat:abbrOccurrences.7	urn:cts:hclat:inscriptions.doc11:9	PONT	PONTIFEX
urn:cts:hclat:abbrOccurrences.8	urn:cts:hclat:inscriptions.doc12:1	PONT	PONTIFEX
urn:cts:hclat:abbrOccurrences.9	urn:cts:hclat:inscriptions.doc12:1	MAX	MAXIMUS
urn:cts:hclat:abbrOccurrences.10	urn:cts:hclat:inscriptions.doc12:7	PONT	PONTIFEX
urn:cts:hclat:abbrOccurrences.11	urn:cts:hclat:inscriptions.doc13:1	PONT	PONTIFICI
urn:cts:hclat:abbrOccurrences.12	urn:cts:hclat:inscriptions.doc13:1	OPT	OPTIMO
urn:cts:hclat:abbrOccurrences.13	urn:cts:hclat:inscriptions.doc13:1	MAX	MAXIMO
urn:cts:hclat:abbrOccurrences.14	urn:cts:hclat:inscriptions.doc13:2	S	SANTI
urn:cts:hclat:abbrOccurrences.15	urn:cts:hclat:inscriptions.doc13:9	PONT	PONTIFEX
urn:cts:hclat:abbrOccurrences.16	urn:cts:hclat:inscriptions.doc13:9	MAX	MAXIMUS
urn:cts:hclat:abbrOccurrences.17	urn:cts:hclat:inscriptions.doc14:1	F	FILIUS
urn:cts:hclat:abbrOccurrences.18	urn:cts:hclat:inscriptions.doc14:1	COS	CONSUL
urn:cts:hclat:abbrOccurrences.19	urn:cts:hclat:inscriptions.doc15:2	S	SENATUS
urn:cts:hclat:abbrOccurrences.20	urn:cts:hclat:inscriptions.doc15:2	C	CONSULTO
urn:cts:hclat:abbrOccurrences.21	urn:cts:hclat:inscriptions.doc16:3	V V	
urn:cts:hclat:abbrOccurrences.22	urn:cts:hclat:inscriptions.doc16:8	V V	
urn:cts:hclat:abbrOccurrences.23	urn:cts:hclat:inscriptions.doc16:12	V V	
urn:cts:hclat:abbrOccurrences.24	urn:cts:hclat:inscriptions.doc17:1	FIL	FILIA
urn:cts:hclat:abbrOccurrences.25	urn:cts:hclat:inscriptions.doc17:2	VV	
urn:cts:hclat:abbrOccurrences.26	urn:cts:hclat:inscriptions.doc18:1	IMP	IMPERATORI
urn:cts:hclat:abbrOccurrences.27	urn:cts:hclat:inscriptions.doc18:1	CAES	CAESARI
urn:cts:hclat:abbrOccurrences.28	urn:cts:hclat:inscriptions.doc18:1	FIL	FILIO
urn:cts:hclat:abbrOccurrences.29	urn:cts:hclat:inscriptions.doc18:1	AUG	AUGUSTO
urn:cts:hclat:abbrOccurrences.30	urn:cts:hclat:inscriptions.doc18:2	PONTIFIC	PONTIFICI
urn:cts:hclat:abbrOccurrences.31	urn:cts:hclat:inscriptions.doc18:2	TRIBUNIC	TRIBUNICIA
urn:cts:hclat:abbrOccurrences.32	urn:cts:hclat:inscriptions.doc18:2	POTEST	POTESTATE
urn:cts:hclat:abbrOccurrences.33	urn:cts:hclat:inscriptions.doc18:2		IMPERATORI
urn:cts:hclat:abbrOccurrences.34	urn:cts:hclat:inscriptions.doc18:2	COS	CONSULI
urn:cts:hclat:abbrOccurrences.35	urn:cts:hclat:inscriptions.doc18:2	PROCOS	PROCONSULI
urn:cts:hclat:abbrOccurrences.36	urn:cts:hclat:inscriptions.doc18:3	IMP	IMPERATORI
urn:cts:hclat:abbrOccurrences.37	urn:cts:hclat:inscriptions.doc18:3	CAES	CAESARI
urn:cts:hclat:abbrOccurrences.38	urn:cts:hclat:inscriptions.doc18:3	FIL	FILIO
urn:cts:hclat:abbrOccurrences.39	urn:cts:hclat:inscriptions.doc18:3	AUG	AUGUSTO
urn:cts:hclat:abbrOccurrences.40	urn:cts:hclat:inscriptions.doc18:3	TRIBUNIC	TRIBUNICIA
urn:cts:hclat:abbrOccurrences.41	urn:cts:hclat:inscriptions.doc18:3		POTESTATE
urn:cts:hclat:abbrOccurrences.42	urn:cts:hclat:inscriptions.doc18:3	COS	CONSULI
urn:cts:hclat:abbrOccurrences.43	urn:cts:hclat:inscriptions.doc18:3	PROCOS	PROCONSULI
urn:cts:hclat:abbrOccurrences.44	urn:cts:hclat:inscriptions.doc18:3	P P	PATRI PATRIAE
urn:cts:hclat:abbrOccurrences.45	urn:cts:hclat:inscriptions.doc18:6	S	SENATUS
urn:cts:hclat:abbrOccurrences.46	urn:cts:hclat:inscriptions.doc18:6	P	POPULUS
urn:cts:hclat:abbrOccurrences.47	urn:cts:hclat:inscriptions.doc18:6	Q	QUE
urn:cts:hclat:abbrOccurrences.48	urn:cts:hclat:inscriptions.doc19:1	F	FILIUS
urn:cts:hclat:abbrOccurrences.49	urn:cts:hclat:inscriptions.doc19:1	TER	
urn:cts:hclat:abbrOccurrences.50	urn:cts:hclat:inscriptions.doc19:1	C	
urn:cts:hclat:abbrOccurrences.51	urn:cts:hclat:inscriptions.doc19:1	N	
urn:cts:hclat:abbrOccurrences.52	urn:cts:hclat:inscriptions.doc19:2	VIRID	
urn:cts:hclat:abbrOccurrences.53	urn:cts:hclat:inscriptions.doc19:2	ITERUMQ	ITERUMQUE
urn:cts:hclat:abbrOccurrences.54	urn:cts:hclat:inscriptions.doc19:3	TR	TRIBUNUS
urn:cts:hclat:abbrOccurrences.55	urn:cts:hclat:inscriptions.doc19:3	MIL	MILITUM
urn:cts:hclat:abbrOccurrences.56	urn:cts:hclat:inscriptions.doc19:4	F	FILIA
urn:cts:hclat:abbrOccurrences.57	urn:cts:hclat:inscriptions.doc2:1	IMP	IMPERATOR
urn:cts:hclat:abbrOccurrences.58	urn:cts:hclat:inscriptions.doc2:2		TRIBUNICIA
urn:cts:hclat:abbrOccurrences.59	urn:cts:hclat:inscriptions.doc2:2		POTESTATE
urn:cts:hclat:abbrOccurrences.60	urn:cts:hclat:inscriptions.doc2:2	P P	PATER PATRIAE
urn:cts:hclat:abbrOccurrences.61	urn:cts:hclat:inscriptions.doc2:2	IMP	IMPERATOR
urn:cts:hclat:abbrOccurrences.62	urn:cts:hclat:inscriptions.doc2:2	COS	CONSUL
urn:cts:hclat:abbrOccurrences.63	urn:cts:hclat:inscriptions.doc20:1	F	FILIAE
urn:cts:hclat:abbrOccurrences.64	urn:cts:hclat:inscriptions.doc20:2	N	
urn:cts:hclat:abbrOccurrences.65	urn:cts:hclat:inscriptions.doc20:2	F	FILIO
urn:cts:hclat:abbrOccurrences.66	urn:cts:hclat:inscriptions.doc20:2	FAB	
urn:cts:hclat:abbrOccurrences.67	urn:cts:hclat:inscriptions.doc20:5	MART	MARTIAS
urn:cts:hclat:abbrOccurrences.68	urn:cts:hclat:inscriptions.doc22:1	PRAEF	
urn:cts:hclat:abbrOccurrences.69	urn:cts:hclat:inscriptions.doc22:1	FABR	
urn:cts:hclat:abbrOccurrences.70	urn:cts:hclat:inscriptions.doc23:1	CU	
urn:cts:hclat:abbrOccurrences.71	urn:cts:hclat:inscriptions.doc23:1	COS	CONSULI
urn:cts:hclat:abbrOccurrences.72	urn:cts:hclat:inscriptions.doc23:2	AUG	AUGUSTO
urn:cts:hclat:abbrOccurrences.73	urn:cts:hclat:inscriptions.doc23:2	N	
urn:cts:hclat:abbrOccurrences.74	urn:cts:hclat:inscriptions.doc23:4	LEG	
urn:cts:hclat:abbrOccurrences.75	urn:cts:hclat:inscriptions.doc23:4	AUG	
urn:cts:hclat:abbrOccurrences.76	urn:cts:hclat:inscriptions.doc23:4	PR PR	
urn:cts:hclat:abbrOccurrences.77	urn:cts:hclat:inscriptions.doc23:6	LEG	
urn:cts:hclat:abbrOccurrences.78	urn:cts:hclat:inscriptions.doc23:6	P F	
urn:cts:hclat:abbrOccurrences.79	urn:cts:hclat:inscriptions.doc23:7	PROV	PROVINCIAE
urn:cts:hclat:abbrOccurrences.80	urn:cts:hclat:inscriptions.doc23:8	TRIB	
urn:cts:hclat:abbrOccurrences.81	urn:cts:hclat:inscriptions.doc23:8	BL	
urn:cts:hclat:abbrOccurrences.82	urn:cts:hclat:inscriptions.doc23:8	CAND	
urn:cts:hclat:abbrOccurrences.83	urn:cts:hclat:inscriptions.doc23:8	O	
urn:cts:hclat:abbrOccurrences.84	urn:cts:hclat:inscriptions.doc23:8	CAND	
urn:cts:hclat:abbrOccurrences.85	urn:cts:hclat:inscriptions.doc24:1	IMP	IMPERATORI
urn:cts:hclat:abbrOccurrences.86	urn:cts:hclat:inscriptions.doc24:1	F	FILIO
urn:cts:hclat:abbrOccurrences.87	urn:cts:hclat:inscriptions.doc24:3	COS	CONSUL
urn:cts:hclat:abbrOccurrences.88	urn:cts:hclat:inscriptions.doc24:3	IMP	IMPERATOR
urn:cts:hclat:abbrOccurrences.89	urn:cts:hclat:inscriptions.doc24:4	TRIBUNIC	TRIBUNICIA
urn:cts:hclat:abbrOccurrences.90	urn:cts:hclat:inscriptions.doc24:4	POTEST	POTESTATE
urn:cts:hclat:abbrOccurrences.91	urn:cts:hclat:inscriptions.doc24:5	M	
urn:cts:hclat:abbrOccurrences.92	urn:cts:hclat:inscriptions.doc24:5	F	FILIUS
urn:cts:hclat:abbrOccurrences.93	urn:cts:hclat:inscriptions.doc25:1	IMP	IMPERATORI
urn:cts:hclat:abbrOccurrences.94	urn:cts:hclat:inscriptions.doc25:4	AUG	AUGUSTO
urn:cts:hclat:abbrOccurrences.95	urn:cts:hclat:inscriptions.doc25:8	COS	CONSUL
urn:cts:hclat:abbrOccurrences.96	urn:cts:hclat:inscriptions.doc29:1	C	
urn:cts:hclat:abbrOccurrences.97	urn:cts:hclat:inscriptions.doc29:1	F	FILIUS
urn:cts:hclat:abbrOccurrences.98	urn:cts:hclat:inscriptions.doc29:1	CUR	CURATOR
urn:cts:hclat:abbrOccurrences.99	urn:cts:hclat:inscriptions.doc29:1	VIAR	VIARUM
urn:cts:hclat:abbrOccurrences.100	urn:cts:hclat:inscriptions.doc3:1	F	FILIUS
urn:cts:hclat:abbrOccurrences.101	urn:cts:hclat:inscriptions.doc30:1	Q	QUINTO
urn:cts:hclat:abbrOccurrences.102	urn:cts:hclat:inscriptions.doc30:2	Q	
urn:cts:hclat:abbrOccurrences.103	urn:cts:hclat:inscriptions.doc30:2	I	
urn:cts:hclat:abbrOccurrences.104	urn:cts:hclat:inscriptions.doc30:2	COL	
urn:cts:hclat:abbrOccurrences.105	urn:cts:hclat:inscriptions.doc30:5	F	FILIO
urn:cts:hclat:abbrOccurrences.106	urn:cts:hclat:inscriptions.doc30:5	FABR	
urn:cts:hclat:abbrOccurrences.107	urn:cts:hclat:inscriptions.doc30:10	L D S C	
urn:cts:hclat:abbrOccurrences.108	urn:cts:hclat:inscriptions.doc31:null	V C	
urn:cts:hclat:abbrOccurrences.109	urn:cts:hclat:inscriptions.doc4:1	D	DIS
urn:cts:hclat:abbrOccurrences.110	urn:cts:hclat:inscriptions.doc4:1	M	MANIBUS
urn:cts:hclat:abbrOccurrences.111	urn:cts:hclat:inscriptions.doc4:3	ANN	ANNO
urn:cts:hclat:abbrOccurrences.112	urn:cts:hclat:inscriptions.doc4:4	ANN	ANNO
urn:cts:hclat:abbrOccurrences.113	urn:cts:hclat:inscriptions.doc4:7	MATR	MATRI
urn:cts:hclat:abbrOccurrences.114	urn:cts:hclat:inscriptions.doc5:1	IMP	IMPERATORI
urn:cts:hclat:abbrOccurrences.115	urn:cts:hclat:inscriptions.doc5:1	CAES	CAESARI
urn:cts:hclat:abbrOccurrences.116	urn:cts:hclat:inscriptions.doc5:3	PONTIF	PONTIFICI
urn:cts:hclat:abbrOccurrences.117	urn:cts:hclat:inscriptions.doc5:4	POTEST	POTESTATE
urn:cts:hclat:abbrOccurrences.118	urn:cts:hclat:inscriptions.doc5:4	P P	PATRI PATRIAE
urn:cts:hclat:abbrOccurrences.119	urn:cts:hclat:inscriptions.doc5:5	COS	CONSUL
urn:cts:hclat:abbrOccurrences.120	urn:cts:hclat:inscriptions.doc5:6	LEG	LEGATO
urn:cts:hclat:abbrOccurrences.121	urn:cts:hclat:inscriptions.doc5:6	AUG	AUGUSTO
urn:cts:hclat:abbrOccurrences.122	urn:cts:hclat:inscriptions.doc6:1	IMPP	IMPERATORES
urn:cts:hclat:abbrOccurrences.123	urn:cts:hclat:inscriptions.doc6:2	AUGG	AUGUSTI
urn:cts:hclat:abbrOccurrences.124	urn:cts:hclat:inscriptions.doc6:3	CAES	CAESAR
urn:cts:hclat:abbrOccurrences.125	urn:cts:hclat:inscriptions.doc6:5	V C	VIRI CLARISSIMI
urn:cts:hclat:abbrOccurrences.126	urn:cts:hclat:inscriptions.doc6:5	AUGG	AUGUSTI
urn:cts:hclat:abbrOccurrences.127	urn:cts:hclat:inscriptions.doc6:5	PR PR	PRAEFECTO PRAETORIO
urn:cts:hclat:abbrOccurrences.128	urn:cts:hclat:inscriptions.doc6:6	EG EG	
urn:cts:hclat:abbrOccurrences.129	urn:cts:hclat:inscriptions.doc6:7	AUG	
urn:cts:hclat:abbrOccurrences.130	urn:cts:hclat:inscriptions.doc6:8	PRAETE	PRAETORE
urn:cts:hclat:abbrOccurrences.131	urn:cts:hclat:inscriptions.doc6:8	LEG	LEGATO
urn:cts:hclat:abbrOccurrences.132	urn:cts:hclat:inscriptions.doc7:2	AUG	AUGUSTUS
urn:cts:hclat:abbrOccurrences.133	urn:cts:hclat:inscriptions.doc8:1	T	
urn:cts:hclat:abbrOccurrences.134	urn:cts:hclat:inscriptions.doc8:1	FL	FILIUS
urn:cts:hclat:abbrOccurrences.135	urn:cts:hclat:inscriptions.doc8:2	V C	VIR CLARISSIMUS
urn:cts:hclat:abbrOccurrences.136	urn:cts:hclat:inscriptions.doc8:2	LEG	LEGATUS
urn:cts:hclat:abbrOccurrences.137	urn:cts:hclat:inscriptions.doc8:3	TEMPL	TEMPLUM
