Tag,Label,Note
urn:cite:hclat:category.ablative,Ablative,
urn:cite:hclat:category.decl1,First declension,
urn:cite:hclat:category.decl2,Second declension,
urn:cite:hclat:category.decl3,Third declension,
urn:cite:hclat:category.decl4,Fourth declension,
urn:cite:hclat:category.decl5,Fifth declension,
urn:cite:hclat:category.accusative,Accusative,
urn:cite:hclat:category.adverb,Adverb,
urn:cite:hclat:category.adjective,Adjective,
urn:cite:hclat:category.dative,Dative,
urn:cite:hclat:category.conj1,First conjugation,
urn:cite:hclat:category.conj2,Second conjugation,
urn:cite:hclat:category.conj3,Third conjugation,
urn:cite:hclat:category.conj4,Fourth conjugation,
urn:cite:hclat:category.irregular,Irregular verb,
urn:cite:hclat:category.participle,Participle,
urn:cite:hclat:category.future,Future tense,
urn:cite:hclat:category.indicative,Indicative mood,
urn:cite:hclat:category.genitive,Genitive,
urn:cite:hclat:category.pronoun,Pronoun,
urn:cite:hclat:category.imperfect,Imperfect tense,
urn:cite:hclat:category.active,Active voice,
urn:cite:hclat:category.passive,Passive voice,
urn:cite:hclat:category.nominative,Nominative,
urn:cite:hclat:category.perfect,Perfect tense,
urn:cite:hclat:category.pluperfect,Pluperfect tense,
urn:cite:hclat:category.present,Present tense,
urn:cite:hclat:category.imperative,Imperative mood,
urn:cite:hclat:category.subjunctive,Subjunctive mood,
urn:cite:hclat:category.infinitive,Infinitive,
urn:cite:hclat:category.vocative,Vocative,
