Analysis,PoS,Form,Lemma,LexEntity
urn:cite:hclat:analyses.1,exclamation,a,a,
urn:cite:hclat:analyses.1,preposition,a,ab,urn:cite:perseus:latlexent.lex9104.1
urn:cite:hclat:analyses.10,noun,accensus,accensus,urn:cite:perseus:latlexent.lex9407.1
urn:cite:hclat:analyses.10,noun,accensus,accensus2,urn:cite:perseus:latlexent.lex9408.1
urn:cite:hclat:analyses.10,verb,accensus,accendo2,urn:cite:perseus:latlexent.lex9403.1
urn:cite:hclat:analyses.10,verb,accensus,accenseo,urn:cite:perseus:latlexent.lex9404.1
urn:cite:hclat:analyses.1003,adjective,piae,pius,urn:cite:perseus:latlexent.lex41025.1
urn:cite:hclat:analyses.1003,verb,piae,pigeo,urn:cite:perseus:latlexent.lex40840.1
urn:cite:hclat:analyses.1004,noun,pice,picus1,urn:cite:perseus:latlexent.lex40835.1
urn:cite:hclat:analyses.1006,noun,pietas,pietas1,urn:cite:perseus:latlexent.lex40838.1
urn:cite:hclat:analyses.1007,noun,pietatis,pietas1,urn:cite:perseus:latlexent.lex40838.1
urn:cite:hclat:analyses.1008,adjective,pii,pius,urn:cite:perseus:latlexent.lex41025.1
urn:cite:hclat:analyses.1010,adjective,piissimae,pius,urn:cite:perseus:latlexent.lex41025.1
urn:cite:hclat:analyses.1011,adjective,piissimo,pius,urn:cite:perseus:latlexent.lex41025.1
urn:cite:hclat:analyses.1013,adjective,pio,pius,urn:cite:perseus:latlexent.lex41025.1
urn:cite:hclat:analyses.1013,verb,pio,pio,urn:cite:perseus:latlexent.lex40939.1
urn:cite:hclat:analyses.1014,adjective,pius,pius,urn:cite:perseus:latlexent.lex41025.1
urn:cite:hclat:analyses.1018,adjective,plotius,plautus1,urn:cite:perseus:latlexent.lex41152.1
urn:cite:hclat:analyses.1020,noun,poena,poena,urn:cite:perseus:latlexent.lex41291.1
urn:cite:hclat:analyses.1024,verb,ponendam,pono,urn:cite:perseus:latlexent.lex41450.1
urn:cite:hclat:analyses.1025,verb,ponentem,pono,urn:cite:perseus:latlexent.lex41450.1
urn:cite:hclat:analyses.1027,noun,ponti,pons,urn:cite:perseus:latlexent.lex41451.1
urn:cite:hclat:analyses.1027,noun,ponti,pontus1,urn:cite:perseus:latlexent.lex41461.1
urn:cite:hclat:analyses.1029,noun,pontifex,pontifex,urn:cite:perseus:latlexent.lex41453.1
urn:cite:hclat:analyses.103,verb,appio,ad-pio,
urn:cite:hclat:analyses.1031,adjective,pontifici,pontificius,urn:cite:perseus:latlexent.lex41456.1
urn:cite:hclat:analyses.1031,noun,pontifici,pontifex,urn:cite:perseus:latlexent.lex41453.1
urn:cite:hclat:analyses.1031,noun,pontifici,pontificium,
urn:cite:hclat:analyses.1035,noun,populi,populus1,urn:cite:perseus:latlexent.lex41502.1
urn:cite:hclat:analyses.1035,noun,populi,populus2,urn:cite:perseus:latlexent.lex41503.1
