Urn,String
urn:cite:hclat:tokens.a,a
urn:cite:hclat:tokens.ab,ab
urn:cite:hclat:tokens.abiremus,abiremus
urn:cite:hclat:tokens.abnepos,abnepos
urn:cite:hclat:tokens.absolvi,absolvi
urn:cite:hclat:tokens.accensi,accensi
urn:cite:hclat:tokens.accensu,accensu
urn:cite:hclat:tokens.accensus,accensus
urn:cite:hclat:tokens.accessi,accessi
urn:cite:hclat:tokens.actu,actu
urn:cite:hclat:tokens.ad,ad
urn:cite:hclat:tokens.adampliato,adampliato
urn:cite:hclat:tokens.adiutori,adiutori
urn:cite:hclat:tokens.adlecto,adlecto
urn:cite:hclat:tokens.adnepos,adnepos
urn:cite:hclat:tokens.advocationis,advocationis
urn:cite:hclat:tokens.advocato,advocato
urn:cite:hclat:tokens.aedem,aedem
urn:cite:hclat:tokens.aedili,aedili
urn:cite:hclat:tokens.aedilis,aedilis
urn:cite:hclat:tokens.aedium,aedium
urn:cite:hclat:tokens.aer,aer
urn:cite:hclat:tokens.aetatis,aetatis
urn:cite:hclat:tokens.agro,agro
urn:cite:hclat:tokens.alimentorum,alimentorum
urn:cite:hclat:tokens.altari,altari
urn:cite:hclat:tokens.alti,alti
urn:cite:hclat:tokens.aluei,aluei
urn:cite:hclat:tokens.alumnus,alumnus
urn:cite:hclat:tokens.amantissimo,amantissimo
urn:cite:hclat:tokens.ampliatus,ampliatus
urn:cite:hclat:tokens.an,an
urn:cite:hclat:tokens.anathema,anathema
urn:cite:hclat:tokens.anathematis,anathematis
urn:cite:hclat:tokens.ane,ane
urn:cite:hclat:tokens.angeli,angeli
urn:cite:hclat:tokens.angelicam,angelicam
urn:cite:hclat:tokens.angelorum,angelorum
urn:cite:hclat:tokens.animam,animam
urn:cite:hclat:tokens.animi,animi
urn:cite:hclat:tokens.ann,ann
urn:cite:hclat:tokens.annis,annis
urn:cite:hclat:tokens.anno,anno
urn:cite:hclat:tokens.annor,annor
urn:cite:hclat:tokens.annorum,annorum
urn:cite:hclat:tokens.annos,annos
urn:cite:hclat:tokens.annum,annum
urn:cite:hclat:tokens.ano,ano
urn:cite:hclat:tokens.antho,antho
urn:cite:hclat:tokens.antium,antium
urn:cite:hclat:tokens.aperuit,aperuit
urn:cite:hclat:tokens.arcem,arcem
urn:cite:hclat:tokens.arcum,arcum
urn:cite:hclat:tokens.argentari,argentari
urn:cite:hclat:tokens.armis,armis
urn:cite:hclat:tokens.armo,armo
