VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.1,urn:cite:hclat:analyses.10,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.2,urn:cite:hclat:analyses.1003,,singular,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.3,urn:cite:hclat:analyses.1003,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.4,urn:cite:hclat:analyses.1013,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.5,urn:cite:hclat:analyses.1024,,singular,,gerundive,passive,feminine,accusative,conj3
urn:cite:hclat:verbAnalyses.6,urn:cite:hclat:analyses.1025,,singular,present,participle,active,feminine,accusative,conj3
urn:cite:hclat:verbAnalyses.7,urn:cite:hclat:analyses.1025,,singular,present,participle,active,masculine,accusative,conj3
urn:cite:hclat:verbAnalyses.8,urn:cite:hclat:analyses.103,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.9,urn:cite:hclat:analyses.1045,,plural,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.10,urn:cite:hclat:analyses.1045,,plural,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.11,urn:cite:hclat:analyses.1045,,singular,perfect,participle,passive,feminine,dative,pp4
urn:cite:hclat:verbAnalyses.12,urn:cite:hclat:analyses.1045,,singular,perfect,participle,passive,feminine,genitive,pp4
urn:cite:hclat:verbAnalyses.13,urn:cite:hclat:analyses.1051,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.14,urn:cite:hclat:analyses.1054,2nd,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.15,urn:cite:hclat:analyses.1054,2nd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.16,urn:cite:hclat:analyses.1055,3rd,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.17,urn:cite:hclat:analyses.1061,2nd,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.18,urn:cite:hclat:analyses.1069,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.19,urn:cite:hclat:analyses.1069,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.20,urn:cite:hclat:analyses.1069,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.21,urn:cite:hclat:analyses.1069,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.22,urn:cite:hclat:analyses.1070,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.23,urn:cite:hclat:analyses.1072,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.24,urn:cite:hclat:analyses.1072,2nd,singular,present,imperative,active,,,conj4
urn:cite:hclat:verbAnalyses.25,urn:cite:hclat:analyses.1072,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.26,urn:cite:hclat:analyses.1074,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.27,urn:cite:hclat:analyses.1074,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.28,urn:cite:hclat:analyses.1074,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.29,urn:cite:hclat:analyses.1074,,singular,perfect,participle,passive,neuter,dative,pp4
